date,ticker,open,high,low,close,adj_close,volume
,,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
2023-06-27,000001.SS,3153.31005859375,3194.409912109375,3148.27001953125,3189.43994140625,3189.43994140625,287600
2023-06-28,000001.SS,3183.489990234375,3192.659912109375,3157.1201171875,3189.3798828125,3189.3798828125,276200
2023-06-29,000001.SS,3185.419921875,3196.5,3179.530029296875,3182.3798828125,3182.3798828125,250300
2023-06-30,000001.SS,3178.919921875,3212.989990234375,3177.989990234375,3202.06005859375,3202.06005859375,265400
2023-07-03,000001.SS,3209.159912109375,3246.860107421875,3209.159912109375,3243.97998046875,3243.97998046875,312400
2023-07-04,000001.SS,3241.22998046875,3246.9599609375,3233.989990234375,3245.35009765625,3245.35009765625,279200
2023-07-05,000001.SS,3240.050048828125,3241.840087890625,3218.60009765625,3222.949951171875,3222.949951171875,264000
2023-07-06,000001.SS,3215.860107421875,3229.47998046875,3199.719970703125,3205.570068359375,3205.570068359375,246100
2023-07-07,000001.SS,3197.469970703125,3212.050048828125,3189.2099609375,3196.610107421875,3196.610107421875,255700
2023-07-10,000001.SS,3208.72998046875,3216.530029296875,3192.659912109375,3203.699951171875,3203.699951171875,236600
2023-07-11,000001.SS,3211.1201171875,3221.679931640625,3200.3798828125,3221.3701171875,3221.3701171875,227600
2023-07-12,000001.SS,3220.3798828125,3224.330078125,3193.43994140625,3196.1298828125,3196.1298828125,271400
2023-07-13,000001.SS,3202.699951171875,3238.469970703125,3202.699951171875,3236.47998046875,3236.47998046875,276600
2023-07-14,000001.SS,3240.969970703125,3248.3798828125,3234.0,3237.699951171875,3237.699951171875,273300
2023-07-17,000001.SS,3219.02001953125,3219.02001953125,3195.889892578125,3209.6298828125,3209.6298828125,250200
2023-07-18,000001.SS,3206.7900390625,3210.25,3190.0,3197.820068359375,3197.820068359375,235000
2023-07-19,000001.SS,3195.010009765625,3204.360107421875,3181.56005859375,3198.840087890625,3198.840087890625,217400
2023-07-20,000001.SS,3201.909912109375,3209.06005859375,3165.669921875,3169.52001953125,3169.52001953125,238900
2023-07-21,000001.SS,3163.419921875,3185.639892578125,3157.330078125,3167.75,3167.75,225300
2023-07-24,000001.SS,3157.469970703125,3178.72998046875,3151.1298828125,3164.159912109375,3164.159912109375,216600
2023-07-25,000001.SS,3201.4599609375,3231.75,3201.4599609375,3231.52001953125,3231.52001953125,348600
2023-07-26,000001.SS,3228.090087890625,3229.889892578125,3212.8798828125,3223.030029296875,3223.030029296875,317200
2023-07-27,000001.SS,3225.47998046875,3245.60009765625,3210.469970703125,3216.669921875,3216.669921875,327100
2023-07-28,000001.SS,3206.739990234375,3280.280029296875,3200.989990234375,3275.929931640625,3275.929931640625,411100
2023-07-31,000001.SS,3287.208984375,3322.12890625,3281.012939453125,3291.0400390625,3291.0400390625,459000
2023-08-01,000001.SS,3288.760009765625,3305.340087890625,3279.56591796875,3290.948974609375,3290.948974609375,459900
2023-08-02,000001.SS,3281.85791015625,3290.820068359375,3252.303955078125,3261.68994140625,3261.68994140625,405300
2023-08-03,000001.SS,3254.56494140625,3280.864013671875,3247.27197265625,3280.462890625,3280.462890625,384700
2023-08-04,000001.SS,3296.093994140625,3315.049072265625,3281.73388671875,3288.083984375,3288.083984375,470900
2023-08-07,000001.SS,3276.77587890625,3276.77587890625,3258.537109375,3268.8310546875,3268.8310546875,360300
2023-08-08,000001.SS,3260.719970703125,3274.52001953125,3246.669921875,3260.6201171875,3260.6201171875,316500
2023-08-09,000001.SS,3251.14990234375,3257.080078125,3240.2900390625,3244.489990234375,3244.489990234375,271200
2023-08-10,000001.SS,3242.2099609375,3257.030029296875,3234.1201171875,3254.56005859375,3254.56005859375,287400
2023-08-11,000001.SS,3254.47998046875,3254.47998046875,3189.25,3189.25,3189.25,330100
2023-08-14,000001.SS,3159.7099609375,3180.510009765625,3141.659912109375,3178.429931640625,3178.429931640625,299800
2023-08-15,000001.SS,3180.56005859375,3186.22998046875,3147.35009765625,3176.179931640625,3176.179931640625,273300
2023-08-16,000001.SS,3164.699951171875,3176.6298828125,3149.719970703125,3150.1298828125,3150.1298828125,281700
2023-08-17,000001.SS,3137.35009765625,3167.449951171875,3123.25,3163.739990234375,3163.739990234375,294700
2023-08-18,000001.SS,3165.10009765625,3179.1201171875,3131.949951171875,3131.949951171875,3131.949951171875,294400
2023-08-21,000001.SS,3125.989990234375,3134.9599609375,3092.97998046875,3092.97998046875,3092.97998046875,265800
2023-08-22,000001.SS,3103.780029296875,3126.780029296875,3074.530029296875,3120.330078125,3120.330078125,309300
2023-08-23,000001.SS,3116.27001953125,3116.3798828125,3077.610107421875,3078.39990234375,3078.39990234375,272200
2023-08-24,000001.SS,3085.909912109375,3106.179931640625,3072.949951171875,3082.239990234375,3082.239990234375,300000
2023-08-25,000001.SS,3068.6201171875,3085.050048828125,3053.0400390625,3064.070068359375,3064.070068359375,225200
2023-08-28,000001.SS,3219.0400390625,3219.0400390625,3089.1201171875,3098.639892578125,3098.639892578125,485600
2023-08-29,000001.SS,3091.93994140625,3145.760009765625,3090.43994140625,3135.889892578125,3135.889892578125,398900
2023-08-30,000001.SS,3144.409912109375,3153.68994140625,3126.89990234375,3137.139892578125,3137.139892578125,347500
2023-08-31,000001.SS,3134.550048828125,3139.97998046875,3113.949951171875,3119.8798828125,3119.8798828125,313400
2023-09-01,000001.SS,3126.02001953125,3143.85009765625,3123.18994140625,3133.25,3133.25,292300
2023-09-04,000001.SS,3145.944091796875,3177.06005859375,3143.37890625,3177.06005859375,3177.06005859375,366400
2023-09-05,000001.SS,3169.739990234375,3169.739990234375,3150.080078125,3154.3701171875,3154.3701171875,294100
2023-09-06,000001.SS,3147.139892578125,3162.14990234375,3136.89990234375,3158.080078125,3158.080078125,267000
2023-09-07,000001.SS,3152.199951171875,3152.27001953125,3120.820068359375,3122.35009765625,3122.35009765625,269300
2023-09-08,000001.SS,3114.22998046875,3126.0400390625,3104.669921875,3116.719970703125,3116.719970703125,228100
2023-09-11,000001.SS,3119.610107421875,3155.10009765625,3113.820068359375,3142.780029296875,3142.780029296875,290400
2023-09-12,000001.SS,3140.340087890625,3147.510009765625,3134.320068359375,3137.06005859375,3137.06005859375,234700
2023-09-13,000001.SS,3137.77001953125,3143.760009765625,3106.969970703125,3123.070068359375,3123.070068359375,249700
2023-09-14,000001.SS,3124.85009765625,3135.030029296875,3111.860107421875,3126.550048828125,3126.550048828125,264000
2023-09-15,000001.SS,3133.590087890625,3141.9599609375,3107.449951171875,3117.739990234375,3117.739990234375,292000
2023-09-18,000001.SS,3110.43994140625,3128.699951171875,3098.5,3125.929931640625,3125.929931640625,259400
2023-09-19,000001.SS,3123.989990234375,3131.1298828125,3113.530029296875,3124.9599609375,3124.9599609375,253700
2023-09-20,000001.SS,3118.6669921875,3122.1279296875,3108.157958984375,3108.568115234375,3108.568115234375,228100
2023-09-21,000001.SS,3103.175048828125,3113.493896484375,3084.700927734375,3084.700927734375,3084.700927734375,228700
2023-09-22,000001.SS,3084.757080078125,3132.55810546875,3078.801025390625,3132.431884765625,3132.431884765625,286000
2023-09-25,000001.SS,3131.2080078125,3131.2080078125,3112.15087890625,3115.60693359375,3115.60693359375,258100
2023-09-26,000001.SS,3114.02099609375,3120.2890625,3102.27294921875,3102.27294921875,3102.27294921875,222600
2023-09-27,000001.SS,3104.0400390625,3125.447021484375,3103.843994140625,3107.31591796875,3107.31591796875,240500
2023-09-28,000001.SS,3117.7548828125,3121.8349609375,3105.93994140625,3110.47509765625,3110.47509765625,236300
2023-10-09,000001.SS,3100.0,3103.360107421875,3072.64208984375,3096.922119140625,3096.922119140625,264400
2023-10-10,000001.SS,3104.3701171875,3109.97998046875,3073.18994140625,3075.239990234375,3075.239990234375,255300
2023-10-11,000001.SS,3085.698974609375,3095.658935546875,3071.93603515625,3078.9560546875,3078.9560546875,259900
2023-10-12,000001.SS,3101.705078125,3109.989990234375,3092.177001953125,3107.90087890625,3107.90087890625,274800
2023-10-13,000001.SS,3092.0,3094.919921875,3080.550048828125,3088.10009765625,3088.10009765625,255100
2023-10-16,000001.SS,3091.06494140625,3091.1259765625,3063.68603515625,3073.81298828125,3073.81298828125,263900
2023-10-17,000001.SS,3076.429931640625,3084.070068359375,3064.889892578125,3083.5,3083.5,259000
2023-10-18,000001.SS,3076.580078125,3076.580078125,3057.05908203125,3058.7099609375,3058.7099609375,268600
2023-10-19,000001.SS,3043.196044921875,3043.196044921875,3004.77490234375,3005.39306640625,3005.39306640625,304000
2023-10-20,000001.SS,2995.360107421875,3006.27001953125,2977.169921875,2983.06005859375,2983.06005859375,267100
2023-10-23,000001.SS,2969.785888671875,2973.660888671875,2923.510986328125,2939.291015625,2939.291015625,278900
2023-10-24,000001.SS,2944.31103515625,2964.760986328125,2929.087890625,2962.243896484375,2962.243896484375,311000
2023-10-25,000001.SS,2986.406982421875,2993.294921875,2972.41796875,2974.114013671875,2974.114013671875,332400
2023-10-26,000001.SS,2960.10400390625,2990.327880859375,2956.006103515625,2988.299072265625,2988.299072265625,291800
2023-10-27,000001.SS,2978.403076171875,3029.2099609375,2974.8798828125,3017.783935546875,3017.783935546875,321800
2023-10-30,000001.SS,3009.610107421875,3028.263916015625,3002.347900390625,3021.552978515625,3021.552978515625,360600
2023-10-31,000001.SS,3019.64599609375,3023.0009765625,3006.60888671875,3018.77099609375,3018.77099609375,319900
2023-11-01,000001.SS,3038.181884765625,3038.330078125,3013.93310546875,3023.076904296875,3023.076904296875,280100
2023-11-02,000001.SS,3028.6650390625,3038.64208984375,3009.12109375,3009.406005859375,3009.406005859375,268800
2023-11-03,000001.SS,3012.465087890625,3040.98095703125,3012.465087890625,3030.798095703125,3030.798095703125,268500
2023-11-06,000001.SS,3047.1298828125,3058.989013671875,3037.694091796875,3058.410888671875,3058.410888671875,372900
2023-11-07,000001.SS,3052.919921875,3064.576904296875,3042.468994140625,3057.27001953125,3057.27001953125,326900
2023-11-08,000001.SS,3051.153076171875,3062.990966796875,3037.2890625,3052.373046875,3052.373046875,335700
2023-11-09,000001.SS,3047.653076171875,3063.467041015625,3045.833984375,3053.279052734375,3053.279052734375,315600
2023-11-10,000001.SS,3043.55908203125,3044.0009765625,3027.087890625,3038.969970703125,3038.969970703125,285500
2023-11-13,000001.SS,3044.031982421875,3048.62109375,3028.16796875,3046.532958984375,3046.532958984375,290400
2023-11-14,000001.SS,3046.81689453125,3059.529052734375,3044.426025390625,3056.070068359375,3056.070068359375,294800
2023-11-15,000001.SS,3077.029052734375,3080.1279296875,3064.345947265625,3072.8349609375,3072.8349609375,304300
2023-11-16,000001.SS,3066.85498046875,3071.451904296875,3050.926025390625,3050.926025390625,3050.926025390625,271100
2023-11-17,000001.SS,3043.6201171875,3055.860107421875,3033.75,3054.3701171875,3054.3701171875,267600
2023-11-20,000001.SS,3056.927001953125,3072.512939453125,3043.514892578125,3068.319091796875,3068.319091796875,287600
2023-11-21,000001.SS,3074.827880859375,3089.77392578125,3063.344970703125,3067.93310546875,3067.93310546875,330700
2023-11-22,000001.SS,3060.498046875,3067.962890625,3043.611083984375,3043.611083984375,3043.611083984375,289100
2023-11-23,000001.SS,3041.677978515625,3062.866943359375,3034.297119140625,3061.85595703125,3061.85595703125,276600
2023-11-24,000001.SS,3060.3310546875,3060.3310546875,3037.200927734375,3040.971923828125,3040.971923828125,287800
2023-11-27,000001.SS,3038.18603515625,3038.35791015625,3015.008056640625,3031.699951171875,3031.699951171875,310500
2023-11-28,000001.SS,3028.60009765625,3039.68994140625,3020.22998046875,3038.550048828125,3038.550048828125,268900
2023-11-29,000001.SS,3038.464111328125,3038.97705078125,3017.660888671875,3021.68701171875,3021.68701171875,278000
2023-11-30,000001.SS,3021.10302734375,3030.908935546875,3013.76806640625,3029.673095703125,3029.673095703125,282900
2023-12-01,000001.SS,3027.35302734375,3035.760009765625,3010.23291015625,3031.635986328125,3031.635986328125,286100
2023-12-04,000001.SS,3033.298095703125,3038.97900390625,3022.347900390625,3022.9140625,3022.9140625,288200
2023-12-05,000001.SS,3017.010009765625,3017.010009765625,2972.2958984375,2972.2958984375,2972.2958984375,293900
2023-12-06,000001.SS,2966.947998046875,2985.31396484375,2959.60302734375,2968.93310546875,2968.93310546875,294100
2023-12-07,000001.SS,2965.652099609375,2976.014892578125,2949.14404296875,2966.2060546875,2966.2060546875,296200
2023-12-08,000001.SS,2965.389892578125,2980.833984375,2962.326904296875,2969.55908203125,2969.55908203125,369100
2023-12-11,000001.SS,2956.291015625,2995.669921875,2930.422119140625,2991.43896484375,2991.43896484375,360200
2023-12-12,000001.SS,2986.327880859375,3003.74609375,2980.446044921875,3003.43798828125,3003.43798828125,287600
2023-12-13,000001.SS,2997.3359375,2997.3359375,2968.760986328125,2968.760986328125,2968.760986328125,282800
2023-12-14,000001.SS,2979.698974609375,2986.177001953125,2958.06591796875,2958.986083984375,2958.986083984375,271500
2023-12-15,000001.SS,2966.302001953125,2976.30908203125,2940.027099609375,2942.556884765625,2942.556884765625,289300
